,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [skrócona nazwa],Ulica [pełna nazwa],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Sek
Maciejkowa,Maciejkowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Macierzankowa,Macierzankowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Majkowskiego,Aleksandra Majkowskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Malinowa,Malinowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Mamuszki,Franciszka Mamuszki,,KOKOSZKI,,,x,,,,,x,,,,,,,x,,,,5
Marcowa,Marcowa,,KOKOSZKI,,x,,,,,,x,,,,,,x,,,,,5
Marsa,Marsa,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Marzeń,Marzeń,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Maszynowa,Maszynowa,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Merkurego,Merkurego,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Metalowców,Metalowców,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Meteorytowa,Meteorytowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Mezowska ,Mezowska ,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Miechucińska,Miechucińska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Mieszka I,Mieszka I,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Międzygwiezdna,Międzygwiezdna,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Milewskiego,Bernarda Milewskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Miłosna,Miłosna,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Minerwy,Minerwy,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Mirachowska,Mirachowska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Mirandy,Mirandy,,OSOWA,,x,,,,,,,,,x,,,x,,,,,5
Miraua,Stefana Miraua,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Montażystów,Montażystów,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Morelowa,Morelowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Morska,Morska,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Myśliborska,Myśliborska,,OSOWA ,,x,,,,,,x,,,,,,x,,,,,5
Nadmorska,Nadmorska,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Nadwodna,Nadwodna,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Nagietkowa,Nagietkowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Nawigatorów,Nawigatorów,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Neptuna,Neptuna,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Niedziałkowskiego,Mieczysława Niedziałkowskiego,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Niegocińska,Niegocińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Nike,Nike,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Noakowskiego,Stanisława Noakowskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Nowa,Nowa,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Nowatorów,Nowatorów,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Nowickiego,bpa. Edmunda Nowickiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Nowy Świat,Nowy Świat,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Obrońców Westerplatte,Obrońców Westerplatte,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Odyseusza,Odyseusza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Okólna,Okólna,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Okrętowa,Okrętowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Oliwkowa,Oliwkowa,,JASIEŃ ,,x,,,,,,x,,,,,,x,,,,,5
Opacka,Opacka,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Orfeusza,Orfeusza,,OSOWA,x,,,,,,x,,,,,,x,,,,,,5
Oriona,Oriona,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Orkana,Władysława Orkana,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Orłowska,Orłowska,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Orzechowa,Orzechowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Osiedlowa,Osiedlowa,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Osowski Zakątek,Osowski Zakątek,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Ostrzycka,Ostrzycka,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Otago,Otago,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Otomińska,Otomińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Owczarnia,Owczarnia,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Ozyrysa,Ozyrysa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Pałubickiego,płk. Jana Pałubickiego,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Park Jelitkowski ,Park Jelitkowski ,Inne,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Park Nadmorski,Park Nadmorski Prezydenta Ronalda Reagana ,Inne,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Park Oliwski,Park Oliwski im. Adama Mickiewicza,Inne,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Parkingowa,Parkingowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Parkowa,Parkowa,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Parterowa,Parterowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Parysa,Parysa,,OSOWA,x,,,,,,x,,,,,,x,,,,,,5
Pegaza,Pegaza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Pelczara,Mariana Pelczara,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Pelplińska,Pelplińska,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Penelopy,Penelopy,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Perseusza,Perseusza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
