,,Lokalizacja,,,,,
Lp,Dzielnica,Ulica,Numer,Opis,Data,Godzina przyjazdu,Godzina odjazdu
138,Przymorze Wielkie,ul. Jagiellońska,10L,(parking),18.10.2014,10:50,11:05
139,Przymorze Wielkie,ul. Chłopska,22M,(parking),18.10.2014,11:10,11:25
140,Przymorze Wielkie,ul. Jagiellońska,10C-D,(parking),18.10.2014,11:30,11:45
141,Przymorze Wielkie,ul. Jagiellońska,"28A-26A, B",(parking),18.10.2014,11:50,12:05
142,Przymorze Wielkie,ul. Dąbrowszczaków,34,(parking),18.10.2014,12:10,12:25
143,Przymorze Wielkie,ul. Opolska,3,(naprzeciwko sklepu Tesco),18.10.2014,12:30,12:45
144,Przymorze Wielkie,ul. Chłopska,14,(plac od strony balkonów),18.10.2014,12:50,13:05
145,Rudniki,ul. Zagroble,18,(przy sklepie),25.10.2014,11:10,11:25
146,Rudniki,ul. Rzęsna,1A,(plac postojowy),25.10.2014,11:45,12:00
147,Siedlce,ul. Szara,7,(przy hydroforni),04.10.2014,08:30,08:45
148,Siedlce,ul. Szara,22,"(zatoka postojowa - teren Wspólnoty Mieszkaniowej ""Szara 22"")",04.10.2014,08:50,09:05
149,Siedlce,ul. Ogińskiego,16,(przy trafostacji),04.10.2014,09:10,09:25
150,Siedlce,ul. Bądkowskiego,13,(szczyt budynku 3-13),04.10.2014,08:30,08:45
151,Siedlce,ul. Zakopiańska,14,(szczyt budynku od ul. Skarpowej),04.10.2014,08:50,09:05
152,Stogi,ul. Tamka,8 i 10,(pomiędzy budynkami),25.10.2014,08:55,09:10
153,Stogi,ul. Rybna,3,(obok altany),25.10.2014,09:15,09:30
154,Stogi,ul. Tamka,50,(obok altany),25.10.2014,09:35,09:50
155,Stogi,ul. Pawia,7,(parking przy szczycie budynku),25.10.2014,09:55,10:10
156,Stogi,ul. Rozłogi,15/17/19,(obok altany),25.10.2014,10:55,11:10
157,Stogi,ul. Wrzosy,21,,25.10.2014,11:15,11:30
158,Stogi,ul. Ugory,9,(plac przy budynku),25.10.2014,11:35,11:50
159,Strzyża,ul. Sychty,3,(przed garażami pomiędzy budynkami ul. Sychty 2-14),11.10.2014,11:50,12:05
160,Strzyża,ul. Chopina,,(na wysokości nr 39-43),11.10.2014,12:10,12:25
161,Strzyża,al. Wojska Polskiego,31-37,"(przy ""Blokach Nauczycielskich)",11.10.2014,12:30,12:45
162,Strzyża,al. Wojska Polskiego,39,(plac przed budynkiem),11.10.2014,12:50,13:05
163,Suchanino,ul. Taborowa,4A-D,(przed budynkiem od strony ulicy),04.10.2014,09:30,09:45
164,Suchanino,ul. Paganiniego,17,(przy schodach od ul. Beethovena),04.10.2014,09:50,10:05
165,Suchanino,ul. Kamieńskiego,5A,(szczyt budynku),04.10.2014,10:10,10:25
166,Suchanino,ul. Paderewskiego,8,(zatoka parkingowa),04.10.2014,10:30,10:45
167,Suchanino,ul. Liszta,2,(parking przed budynkiem),04.10.2014,10:50,11:05
168,Suchanino,ul. Kurpińskiego,9,(przy altanie),04.10.2014,11:10,11:25
169,Suchanino,ul. Kurpińskiego,18/20,(przy altanie),04.10.2014,11:30,11:45
170,Śródmieście,ul. Robotnicza,,(pomiedzy budynkami 18 i 8-13),11.10.2014,08:55,09:10
171,Śródmieście,ul. Długie Ogrody,24,(plac postojowy),25.10.2014,12:10,12:25
172,Śródmieście,ul. Długie Ogrody,4,(parking),25.10.2014,12:30,12:45
173,Śródmieście,ul. Chłodna,1,(plac postojowy),25.10.2014,12:50,13:05
174,Śródmieście,ul. Jaskółcza,16,(plac na podwórzu),25.10.2014,13:10,13:25
175,Śródmieście,ul. Ogarna,24/26,(plac przy altanie),25.10.2014,12:20,12:35
176,Śródmieście,ul. Złotników,26/28,(przy altanie),25.10.2014,12:45,13:00
177,Śródmieście,ul. Słomiana,2,(przy altanie),25.10.2014,13:05,13:20
178,Śródmieście,Targ Rybny,,,25.10.2014,13:25,13:40
179,Śródmieście,ul. Sukiennicza,4A,(plac przy altanie),25.10.2014,13:45,14:00
180,Ujeścisko-Łostowice,ul. Ujeścisko,16G,"(""Osiedle Pomarańczowe"" parking po lewej stronie wjazdu na osiedle)",27.09.2014,08:30,08:45
181,Ujeścisko-Łostowice,ul. Słoneczna Dolina,12,(przy stacji transformatorowej),27.09.2014,08:50,09:05
182,Ujeścisko-Łostowice,ul. Jarzębinowa,18,(plac przed budynkiem),27.09.2014,09:10,09:25
183,Ujeścisko-Łostowice,ul. Jabłoniowa,21,"(plac obok sklepu, między szlabanami osiedla ""Lawendowe Wzgórza"")",27.09.2014,14:15,14:30
184,Ujeścisko-Łostowice,ul. Elfów,42,(przy rozdzielni SN),27.09.2014,14:50,15:05
185,Ujeścisko-Łostowice,ul. Piotrkowska,1,(miejsca postojowe naprzeciwko wejścia do klatki),27.09.2014,08:55,09:10
186,Ujeścisko-Łostowice,ul. Ostrołęcka,29,(parking od szczytu budynku),27.09.2014,09:15,09:30
187,Ujeścisko-Łostowice,ul. Jeleniogórska,9,(parking),27.09.2014,09:35,09:50
188,Ujeścisko-Łostowice,ul. Piotrkowska,2G,(parking od szczytu budynku),27.09.2014,09:55,10:10
189,Ujeścisko-Łostowice,ul. Częstochowska,22,(miejsca postojowe naprzeciwko wejścia do klatki),27.09.2014,10:15,10:30
190,Ujeścisko-Łostowice,ul. Częstochowska,1,(parking),27.09.2014,10:35,10:50
191,Ujeścisko-Łostowice,ul. Płocka,5,(parking przy garażach),27.09.2014,11:00,11:15
192,Ujeścisko-Łostowice,ul. Drużyn Strzeleckich,,(obok pojemników selektywnej zbiórki),27.09.2014,11:20,11:35
193,Ujeścisko-Łostowice,ul. Dąbka,2,(obok pojemników selektywnej zbiórki),27.09.2014,12:55,13:10
