,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Krzemowa,Krzemowa,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Księdza Robaka,Księdza Robaka,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Księżycowa,Księżycowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Kurierów Armii Krajowej,Kurierów Armii Krajowej,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Kutnowska,Kutnowska,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Kwiatowa,Kwiatowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Lazurowa,Lazurowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Letnia,Letnia,,OLSZYNKA,,x,,,x,,,,x,,,x,,x,,,x,,1
Lewkoniowa,Lewkoniowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Lipce,Lipce,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Lipowicza,prof. Romana Lipowicza,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Listki,Listki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Litewska,Litewska,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Lotników Polskich,Lotników Polskich,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Lubuska,Lubuska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Łanowa,Łanowa,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Łańcucka,Łańcucka,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Łęczycka,Łęczycka,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Łęgi,Łęgi,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Łowicka,Łowicka,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Łucznicza,Łucznicza,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Łupaszko,mjr Łupaszko,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Łużycka,Łużycka,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Łyżwiarska,Łyżwiarska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Macieja,Macieja,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Madalińskiego,Antoniego Madalińskiego,2 do końca,CHEŁM,,,,,,,,,,,,,,,,,,,1
Madalińskiego,Antoniego Madalińskiego,"1, 1A",ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Majowa,Majowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Maki,Maki,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Małomiejska,Małomiejska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Marii Ludwiki,Marii Ludwiki,,CHEŁM,,,,,,,,,,,,,,,,,,,1
Maryli,Maryli,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Marynarska,Marynarska,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Mewy,Mewy,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Miałki Szlak,Miałki Szlak,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Michałki,Michałki,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Michonia,Jana Michonia,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Miedza,Miedza,,OLSZYNKA,,x,,,x,,,,x,,,x,,x,,,x,,1
Milskiego,Bernarda Milskiego,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Miłocińska,Miłocińska,,CHEŁM,,,,,,,,,,,,,,,,,,,1
Miodowa,Miodowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Modra,Modra,,OLSZYNKA ,x,,,x,,,,,x,,,x,x,,,x,,,1
Modrzejewskiej,Heleny Modrzejewskiej,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Mostowa,Mostowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,,x,,,x,,x,,,x,,,1
Mrongowiusza,Krzysztofa Mrongowiusza,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Muzyka,Feliksa Muzyka,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Na Szańcach,Na Szańcach,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Nad Brzegiem,Nad Brzegiem,3,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,x,,,,,x,,,x,x,,,x,,,1
Nad Potokiem,Nad Potokiem,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Nad Starą Radunią,Nad Starą Radunią,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Nadwiślańska,Nadwiślańska,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Naftowa,Naftowa,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Nakielska,Nakielska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Narciarska,Narciarska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Narcyzowa,Narcyzowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Nieborowska,Nieborowska,,CHEŁM ,,x,,,x,,,x,,,x,,,x,,,x,,1
Niegowo,Niegowo,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Niegowska,Niegowska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Niepołomicka,Niepołomicka,34 do końca,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Niezapominajek,Niezapominajek,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Niwki,Niwki,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Nowiny,Nowiny,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,,,x,,,x,x,,,x,,,1
Nowogródzka,Nowogródzka,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Odrzańska,Odrzańska,,CHEŁM ,x,,,x,,,,x,,,x,,x,,,x,,,1
Ofiar Grudnia’70,Ofiar Grudnia’70,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Okulickiego,gen. Leopolda Okulickiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Olimpijska,Olimpijska,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Olszyńska,Olszyńska,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Opłotki,Opłotki,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Ornitologów,Ornitologów,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Osiedle,Osiedle,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Ostróżek,Ostróżek,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Osty,Osty,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Pana Tadeusza,Pana Tadeusza,,WZGÓRZE MICKIEWICZA,,x,,,x,,x,,,x,,,,x,,,x,,1
Park Oruński,Park Oruński,Inne,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Pasieczna,Pasieczna,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Pastelowa,Pastelowa,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Perłowa,Perłowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Piaskowa,Piaskowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Pienkowskiej,Aliny Pienkowskiej,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Piesza,Piesza,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Piłkarska,Piłkarska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Piwonii,Piwonii,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Plac Oruński,Plac Oruński,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Platynowa,Platynowa,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Płońska,Płońska,,RUDNIKI,x,,,,x,,,,x,,,x,x,,,,x,,1
Po Schodkach,Po Schodkach,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Podkomorzego,Podkomorzego,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Podleckiego,Zbigniewa Podleckiego,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Podmiejska,Podmiejska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Pogodna,Pogodna,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Pohoreckiego,ppłk. Pohoreckiego,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Pohulanka,Pohulanka,,CHEŁM ,,x,,,x,,,x,,,x,,,x,,,x,,1
Poleska,Poleska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Połęże,Połęże,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Promienista,Promienista,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Prosta,Prosta,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Protazego,Protazego,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Przegalińska,Przegalińska,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Przełom,Przełom,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Przemian,Przemian,,CHEŁM ,,x,,,x,,x,,,x,,,,x,,,x,,1
Przy Torze,Przy Torze,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Przybrzeżna,Przybrzeżna,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Przyjemna,Przyjemna,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Ptasia,Ptasia,39-51 nieparz.,CHEŁM,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Ptasia,Ptasia,1-29 nieparz.; 2-22A parz.,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Pusta,Pusta,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Radosna,Radosna,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Radunicka,Radunicka,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
